"","COMMON.NAME","n_points","mean_diff","mean_pct_diff","corr_means","lci_range_diff","rci_range_diff","mean_width_old","mean_width_new","width_ratio"
"1","Ashy Prinia",14,214.164095539119,0,1,0.433690784023499,-0.39059640719692,66.9709886054833,66.1467014142629,0.987691876611287
"2","Black-winged Kite",14,31.9672910433141,0,1,0.343488866270644,-0.169267652668005,24.3255849363606,23.812828417422,0.97892110219425
"3","Gray Francolin",14,62.9987872251608,0,1,-0.0807196209461145,-0.0663498470774268,53.1504411508925,53.1648109247612,1.00027036038756
